date,socmed,mean_cases,mean_deaths,mean_vaxxed,mean_dose1,mean_cases_adj,mean_deaths_adj,mean_compvax_adj,mean_dose1_adj
2020-03-09,Twitter but no Facebook,3.888888888888889,0.1111111111111111,0,0,5.375141884485453e-6,5.874574313658796e-7,0,0
2020-03-09,Facebook but no Twitter,4.535714285714286,0.03571428571428571,0,0,1.5377151861774046e-5,8.863205289560916e-8,0,0
2020-03-09,No Facebook or Twitter,3.3157894736842106,0.05263157894736842,0,0,1.0027659827419163e-5,6.784693189389283e-7,0,0
2020-03-10,Both Facebook and Twitter,7.191011235955056,0.29213483146067415,0,0,1.0511851483956016e-5,1.4093552631662858e-7,0,0
2020-03-10,Twitter but no Facebook,3.9166666666666665,0.08333333333333333,0,0,1.109129284914882e-5,4.405930735244097e-7,0,0
2020-03-10,Facebook but no Twitter,4.394736842105263,0.02631578947368421,0,0,1.6992905470425245e-5,6.530782844939623e-8,0,0
2020-03-10,No Facebook or Twitter,5.083333333333333,0.125,0,0,2.0923812642196078e-5,2.685007935385059e-6,0,0
2020-03-11,Both Facebook and Twitter,7.898989898989899,0.31313131313131315,0,0,1.652271973778107e-5,1.4548086835224834e-7,0,0
2020-03-11,Twitter but no Facebook,4.214285714285714,0.07142857142857142,0,0,1.052102765437456e-5,3.7765120587806546e-7,0,0
2020-03-11,Facebook but no Twitter,3.8596491228070176,0.03508771929824561,0,0,1.7659367482704092e-5,6.466572900884576e-8,0,0
2020-03-11,No Facebook or Twitter,4.53125,0.09375,0,0,2.836091649841531e-5,2.0137559515387944e-6,0,0
2020-03-12,Both Facebook and Twitter,8.35593220338983,0.2796610169491525,0,0,2.0662109223308034e-5,1.3741813980286054e-7,0,0
2020-03-12,Twitter but no Facebook,4.055555555555555,0.1111111111111111,0,0,1.2146574386441324e-5,3.6654605949265004e-7,0,0
2020-03-12,Facebook but no Twitter,4.324675324675325,0.05194805194805195,0,0,1.9377117981961367e-5,7.914863244621445e-8,0,0
2020-03-12,No Facebook or Twitter,4.461538461538462,0.10256410256410256,0,0,2.4734609614460326e-5,1.8074635491551458e-6,0,0
2020-03-13,Facebook but no Twitter,4.574257425742574,0.039603960396039604,0,0,2.1171670940066236e-5,6.034103661741102e-8,0,0
2020-03-13,Both Facebook and Twitter,9.057553956834532,0.28776978417266186,0,0,2.143202860075224e-5,1.4612375055244316e-7,0,0
2020-03-13,Twitter but no Facebook,4.285714285714286,0.09523809523809523,0,0,1.587817607560951e-5,3.1418233670798574e-7,0,0
2020-03-13,No Facebook or Twitter,4.68,0.08,0,0,3.060494301912886e-5,1.4098215683410137e-6,0,0
2020-03-14,Both Facebook and Twitter,9.595092024539877,0.294478527607362,0,0,2.4180452256449174e-5,2.5575466813365803e-7,0,0
2020-03-14,Facebook but no Twitter,5.223140495867769,0.04132231404958678,0,0,2.4389435296747422e-5,7.15867520611478e-8,0,0
2020-03-14,Twitter but no Facebook,4.92,0.08,0,0,1.5876656884577364e-5,2.63913162834708e-7,0,0
2020-03-14,No Facebook or Twitter,4.655737704918033,0.06557377049180328,0,0,3.131460483129985e-5,1.1555914494598474e-6,0,0
2020-03-15,Both Facebook and Twitter,10.45054945054945,0.2802197802197802,0,0,2.5631776209614737e-5,2.41132538130588e-7,0,0
2020-03-15,Facebook but no Twitter,5.9489051094890515,0.043795620437956206,0,0,2.7662152673564214e-5,8.196751314189238e-8,0,0
2020-03-15,Twitter but no Facebook,5.689655172413793,0.06896551724137931,0,0,1.568915944225614e-5,2.2751134727130001e-7,0,0
2020-03-15,No Facebook or Twitter,4.773333333333333,0.05333333333333334,0,0,3.465940981249477e-5,9.398810455606758e-7,0,0
2020-03-16,Both Facebook and Twitter,12.142105263157895,0.34210526315789475,0,0,2.8763801805403758e-5,2.7057601033283187e-7,0,0
2020-03-16,Facebook but no Twitter,6.296296296296297,0.06172839506172839,0,0,3.214887229345208e-5,5.83736411628541e-7,0,0
2020-03-16,No Facebook or Twitter,6.036585365853658,0.07317073170731707,0,0,3.799576337362768e-5,8.78020459884082e-7,0,0
2020-03-16,Twitter but no Facebook,5.5,0.08823529411764706,0,0,1.4582804482782049e-5,2.1499643966286856e-7,0,0
2020-03-17,Both Facebook and Twitter,13.688372093023256,0.3674418604651163,0,0,3.193521292657577e-5,4.4406169019124925e-7,0,0
2020-03-17,Facebook but no Twitter,7.2356020942408374,0.08900523560209424,0,0,3.5864681261161044e-5,5.843204943000504e-7,0,0
2020-03-17,No Facebook or Twitter,6.65625,0.0625,0,0,4.382933800150905e-5,7.4997580948432e-7,0,0
2020-03-17,Twitter but no Facebook,7.166666666666667,0.1111111111111111,0,0,1.659885988657763e-5,2.084899834310042e-7,0,0
2020-03-18,Both Facebook and Twitter,15.512295081967213,0.39344262295081966,0,0,3.649201629969131e-5,4.437136437276772e-7,0,0
2020-03-18,Facebook but no Twitter,8.25438596491228,0.11403508771929824,0,0,4.097383031777717e-5,5.950548246167724e-7,0,0
