fips,STNAME,population
20123,Kansas,5879
20125,Kansas,31502
20127,Kansas,5559
20129,Kansas,2538
20131,Kansas,10121
20133,Kansas,15929
20135,Kansas,2768
20137,Kansas,5328
20139,Kansas,15770
20141,Kansas,3439
20143,Kansas,5712
20145,Kansas,6366
20147,Kansas,5181
20149,Kansas,24722
20151,Kansas,9127
20153,Kansas,2511
20155,Kansas,61793
20157,Kansas,4536
20159,Kansas,9362
20161,Kansas,73202
20163,Kansas,4827
20165,Kansas,2947
20167,Kansas,6804
20169,Kansas,53926
20171,Kansas,4790
20173,Kansas,519907
20175,Kansas,21038
20177,Kansas,175999
20179,Kansas,2520
20181,Kansas,5777
20183,Kansas,3544
20185,Kansas,4046
20187,Kansas,1969
20189,Kansas,5388
20191,Kansas,22578
20193,Kansas,7702
20195,Kansas,2758
20197,Kansas,6906
20199,Kansas,1536
20201,Kansas,5427
20203,Kansas,2074
20205,Kansas,8362
20207,Kansas,3015
20209,Kansas,165265
21001,Kentucky,19555
21003,Kentucky,21303
21005,Kentucky,22833
21007,Kentucky,7769
21009,Kentucky,44300
21011,Kentucky,12481
21013,Kentucky,25482
21015,Kentucky,135396
21017,Kentucky,19901
21019,Kentucky,46516
21021,Kentucky,30367
21023,Kentucky,8286
21025,Kentucky,12550
21027,Kentucky,20537
21029,Kentucky,82182
21031,Kentucky,12703
21033,Kentucky,12687
21035,Kentucky,39300
21037,Kentucky,94020
21039,Kentucky,4692
21041,Kentucky,10730
21043,Kentucky,26542
21045,Kentucky,16066
21047,Kentucky,71478
21049,Kentucky,36463
21051,Kentucky,19631
21053,Kentucky,10110
21055,Kentucky,8847
21057,Kentucky,6523
21059,Kentucky,101978
21061,Kentucky,12235
21063,Kentucky,7372
21065,Kentucky,14109
21067,Kentucky,324735
21069,Kentucky,14603
21071,Kentucky,34974
21073,Kentucky,51118
21075,Kentucky,5952
21077,Kentucky,8779
21079,Kentucky,17719
21081,Kentucky,25387
21083,Kentucky,36818
21085,Kentucky,26480
21087,Kentucky,10995
21089,Kentucky,34865
21091,Kentucky,8742
21093,Kentucky,111309
21095,Kentucky,25566
21097,Kentucky,18920
21099,Kentucky,19013
21101,Kentucky,44740
21103,Kentucky,16067
21105,Kentucky,4364
21107,Kentucky,44662
21109,Kentucky,13340
21111,Kentucky,767452
21113,Kentucky,54057
21115,Kentucky,22002
21117,Kentucky,167949
21119,Kentucky,14512
21121,Kentucky,31022
21123,Kentucky,14431
21125,Kentucky,61238
21127,Kentucky,15436
21129,Kentucky,7268
21131,Kentucky,9637
21133,Kentucky,21213
21135,Kentucky,13262
21137,Kentucky,24466
21139,Kentucky,9041
21141,Kentucky,27416
21143,Kentucky,8133
21145,Kentucky,65644
21147,Kentucky,17071
21149,Kentucky,9075
21151,Kentucky,94265
21153,Kentucky,12017
21155,Kentucky,19314
21157,Kentucky,31163
21159,Kentucky,11031
21161,Kentucky,17035
21163,Kentucky,28616
21165,Kentucky,6502
21167,Kentucky,21889
21169,Kentucky,10058
21171,Kentucky,10549
21173,Kentucky,28186
21175,Kentucky,13142
21177,Kentucky,30457
21179,Kentucky,46450
21181,Kentucky,7234
21183,Kentucky,23899
21185,Kentucky,66999
21187,Kentucky,11017
21189,Kentucky,4331
21191,Kentucky,14586
